licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Rottapharm Limited - P0886,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=a2eb6531-3332-f011-a373-0050568a2d1a,P0886,87ba69db-bf59-471f-900c-e11f934110a4
AbbVie Ireland NL B.V. - P1087,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=a707e645-f12f-f011-a373-0050568a2d1a,P1087,4511e834-e339-4039-9d79-5cf184200443
Lagan Pigs Limited - P0617,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=aeb815f3-da30-f011-a373-0050568a2d1a,P0617,8dbf9609-2b9b-485e-adec-69eda3b43d13
Holmestown Waste Management Facility - W0191,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=fe8fef0b-e521-f011-a373-0050568a2d1a,W0191,cc7d3f43-b6e6-413a-b51e-64cd4f8a5fae
Kepak Clonee - P0167,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=02c44e7a-2c32-f011-a373-0050568a2d1a,P0167,8693cf02-9f27-4dc9-bde4-c2debd6d86df
Rosderra Farms (Castlebar) - P0572,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-05-06T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=3bf99a13-a6d1-ef11-a325-0050568a66b2,P0572,6b5559e8-8467-4a16-bdb3-dc2bfa2c3ea6
Huntstown Inert Waste Recovery Facility - W0277,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-03-27T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=5e6b249a-dd0a-f011-a373-0050568a2d1a,W0277,2800a316-42ce-e411-b3b4-0050568a69e2
Kilmurry South - W0048,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-04-17T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=64ec8937-a6d1-ef11-a325-0050568a66b2,W0048,4ab480af-c221-48e9-bb2d-a75488288c0c
Lagan Pigs Limited - P0617,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=ad079819-a6d1-ef11-a325-0050568a66b2,P0617,8dbf9609-2b9b-485e-adec-69eda3b43d13
Henkel Ireland Operations and Research Limited  (Ballyfermot) - P0078,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-04-16T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=b0fde5d2-8b1b-f011-a373-0050568a2d1a,P0078,e5130308-0fc0-4f69-961f-afb6e1661450
AbbVie Ireland NL B.V. - P1087,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=d0676c81-4c2b-f011-a373-0050568a2d1a,P1087,4511e834-e339-4039-9d79-5cf184200443
Kyletalesha Landfill - W0026,Site Visit,,2025-05-16T00:00:00+00:00,Closed,2025-04-17T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=da2ee283-5f1f-f011-a373-0050568a2d1a,W0026,dd04a983-87d2-4f83-a300-a996b019c2f6
ERAS ECO Ltd - W0211,Complaint,COM020890 - Web Submission,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=8ea9fbf1-7631-f011-a373-0050568a2d1a,W0211,8851c993-adac-4688-93b4-13c9820afc14
Murroe - D0306,Incident,,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=1a0775fa-a531-f011-a373-0050568a2d1a,D0306,72b903d2-878a-4755-b057-24fc245cc70e
Paulstown - D0339,Incident,,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=8a2d30dc-7a31-f011-a373-0050568a2d1a,D0339,553e2da4-d935-4cd7-be84-0abc5a11b851
Paulstown - D0339,Incident,,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=8fc493fc-8d31-f011-a373-0050568a2d1a,D0339,553e2da4-d935-4cd7-be84-0abc5a11b851
Ballylynan - D0291,Incident,,2025-05-15T00:00:00+00:00,Closed,2025-05-02T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=abc070c0-6b27-f011-a373-0050568a2d1a,D0291,97e3f612-89da-4660-8087-28ed279770c8
Electricity Supply Board (Poolbeg) - P0577,Incident,,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=ae57d05c-a031-f011-a373-0050568a2d1a,P0577,fb942f45-1bf4-4451-b256-5c7e5bb7d814
Upper Liffey Valley Sewerage Scheme - D0002,Incident,,2025-05-15T00:00:00+00:00,Closed,2025-04-29T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=ee7be4c9-f324-f011-a373-0050568a2d1a,D0002,b437566f-0bb3-482c-b719-ff577e1d9d75
Baile Na nGall - D0358,Site Updates/Notifications,Site Visit Request - SV32338,2025-05-15T00:00:00+00:00,Closed,2025-05-02T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=440729c4-5f27-f011-a373-0050568a2d1a,D0358,794485f0-6190-4858-aacd-1001f377f294
Aurivo Consumer Foods Limited - P1035,Site Updates/Notifications,Licensee Public Response - SV32424,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4a23b345-a931-f011-a373-0050568a2d1a,P1035,bd27580f-5fd8-e811-a2db-0050568a66b2
Arklow and Environs - D0006,Annual Environmental Report,AER 2024,2025-05-15T00:00:00+00:00,Open,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=951380fc-6e31-f011-a373-0050568a2d1a,D0006,dde7fe58-2d05-4838-b15f-3606493f091d
Tullow Wastewater Treatment Plant - D0091,Site Updates/Notifications,Response to EPA SV32170,2025-05-15T00:00:00+00:00,Closed,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=960b29b5-cd30-f011-a373-0050568a2d1a,D0091,c42bf6c8-9101-48a3-8f9c-62cdbfd157a5
Blackrock - D0188,Site Updates/Notifications,Site update,2025-05-15T00:00:00+00:00,Closed,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e2395bbc-dc21-f011-a373-0050568a2d1a,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826
Limerick - D0013,EPA Initiated Correspondence,,2025-05-15T00:00:00+00:00,Open (Eden),2025-05-08T00:00:00,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=23d2a461-112c-f011-a373-0050568a2d1a,D0013,2ced8e98-3c4a-467b-b9eb-32f31b653611
Waterford city - D0022,EPA Initiated Correspondence,,2025-05-15T00:00:00+00:00,Open (Eden),2025-05-08T00:00:00,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=dcfd2b17-192c-f011-a373-0050568a2d1a,D0022,cac9a717-47ae-41ce-bd7e-cb5cdbbdc805
Glanway Limited - P1015,Non Compliance,,2025-05-15T00:00:00+00:00,Issued,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=0cf791e8-9431-f011-a373-0050568a2d1a,P1015,ab19a8fb-ed41-e611-99f8-0050568a69e2
Glanway Limited - P1015,Non Compliance,,2025-05-15T00:00:00+00:00,Issued,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=662f0240-9431-f011-a373-0050568a2d1a,P1015,ab19a8fb-ed41-e611-99f8-0050568a69e2
Glanway Limited - P1015,Non Compliance,,2025-05-15T00:00:00+00:00,Issued,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=ad95fa17-9331-f011-a373-0050568a2d1a,P1015,ab19a8fb-ed41-e611-99f8-0050568a69e2
Glanway Limited - P1015,Non Compliance,,2025-05-15T00:00:00+00:00,Issued,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=beff07ab-9431-f011-a373-0050568a2d1a,P1015,ab19a8fb-ed41-e611-99f8-0050568a69e2
Glanway Limited - P1015,Non Compliance,,2025-05-15T00:00:00+00:00,Issued,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=d9cf9680-9331-f011-a373-0050568a2d1a,P1015,ab19a8fb-ed41-e611-99f8-0050568a69e2
Glanway Limited - P1015,Site Visit,,2025-05-15T00:00:00+00:00,Closed,2025-04-17T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=f710942b-a6d1-ef11-a325-0050568a66b2,P1015,ab19a8fb-ed41-e611-99f8-0050568a69e2
